"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"95","George Mason Patriots","ncaa","#006633","#FFCC33","#000000",NA,"A-10","George Mason","Patriots","George Mason Patriots","https://content.sportslogos.net/logos/31/684/thumbs/82zgn45ik9y1ttzrdfugvgfsj.gif"
"96","George Washington","ncaa","#E2CB92","#002654",NA,NA,"A-10","George Washington",NA,"George Washington",NA
"97","Georgetown Hoyas","ncaa","#041E42","#8D817B",NA,NA,"Big East","Georgetown","Hoyas","Georgetown Hoyas","https://content.sportslogos.net/logos/31/686/thumbs/41oxa3jgd3ht8c7a6zf2hbf99.gif"
"98","Georgia Bulldogs[h]","ncaa","#BA0C2F","#000000","#FFFFFF",NA,"SEC","Georgia","Bulldogs[h]","Georgia Bulldogs[h]",NA
"99","Georgia Southern Eagles[u]","ncaa","#011E41","#A3AAAE","#87714D",NA,"Sunbelt","Georgia Southern","Eagles[u]","Georgia Southern Eagles[u]",NA
"100","Georgia State Panthers","ncaa","#0039A6","#C60C30","#000000",NA,"Sunbelt","Georgia State","Panthers","Georgia State Panthers","https://content.sportslogos.net/logos/31/689/thumbs/68949972014.gif"
"101","Georgia Tech","ncaa","#B3A369","#003057","#A28D5B",NA,"ACC","Georgia Tech",NA,"Georgia Tech Yellow Jackets","https://content.sportslogos.net/logos/31/690/thumbs/69087312018.gif"
"102","Gonzaga Bulldogs[k]","ncaa","#041E42","#C8102E","#C1C6C8",NA,"WCC","Gonzaga","Bulldogs[k]","Gonzaga Bulldogs[k]",NA
"103","Grambling","ncaa","#000000","#ECAA00",NA,NA,"SWAC","Grambling",NA,"Grambling",NA
"104","Grand Canyon Antelopes","ncaa","#522398","#000000",NA,NA,"WAC","Grand Canyon","Antelopes","Grand Canyon Antelopes","https://content.sportslogos.net/logos/31/5050/thumbs/505089242015.gif"
"105","Green Bay","ncaa","#006747","#9D2235","#8A8D8F",NA,"Horizon","Green Bay",NA,"Wisconsin-Green Bay Phoenix","https://content.sportslogos.net/logos/35/891/thumbs/89127172018.gif"
"106","Hampton Pirates[q]","ncaa","#265198","#FFFFFF",NA,NA,"CAA","Hampton","Pirates[q]","Hampton Pirates[q]",NA
"107","Hartford Hawks","ncaa","#C02427","#0F0708",NA,NA,"Independent","Hartford","Hawks","Hartford Hawks","https://content.sportslogos.net/logos/31/694/thumbs/69439442015.gif"
"108","Harvard Crimson","ncaa","#A41034","#000000","#808285","#B6B6B6","Ivy","Harvard","Crimson","Harvard Crimson","https://content.sportslogos.net/logos/31/695/thumbs/69560602020.gif"
